 &plot nbnd=  36, nks=    84 /
            0.000000  0.000000  0.000000
  -10.776   -9.862   -9.862   -9.862    1.100    1.100    1.100    1.605    1.605    1.605
    2.499    2.499    2.499    2.499    2.499    2.499    2.947    2.947    2.954    2.954
    2.954    3.100    3.100    3.100    4.149    4.149    4.149    5.109    5.109    5.109
    5.109    5.109    5.109    7.364    7.364    7.364
            0.000000  0.000000  0.083333
  -10.761   -9.878   -9.862   -9.862    1.098    1.124    1.124    1.587    1.615    1.615
    2.472    2.472    2.490    2.490    2.494    2.494    2.929    2.941    2.949    2.980
    2.980    3.094    3.094    3.098    4.108    4.108    4.216    5.063    5.063    5.125
    5.125    5.158    5.158    7.122    7.330    7.330
            0.000000  0.000000  0.166667
  -10.717   -9.926   -9.861   -9.861    1.094    1.194    1.194    1.536    1.643    1.643
    2.397    2.397    2.469    2.469    2.478    2.478    2.876    2.925    2.957    3.053
    3.053    3.075    3.075    3.090    4.004    4.004    4.392    4.934    4.934    5.161
    5.161    5.296    5.296    6.747    7.229    7.229
            0.000000  0.000000  0.250000
  -10.647  -10.000   -9.860   -9.860    1.097    1.301    1.301    1.461    1.690    1.690
    2.292    2.292    2.445    2.445    2.447    2.447    2.828    2.900    2.969    3.041
    3.041    3.078    3.159    3.159    3.876    3.876    4.632    4.752    4.752    5.201
    5.201    5.504    5.504    6.389    7.068    7.068
            0.000000  0.000000  0.333333
  -10.555  -10.097   -9.860   -9.860    1.112    1.372    1.430    1.430    1.756    1.756
    2.173    2.173    2.397    2.397    2.426    2.426    2.800    2.870    2.985    2.997
    2.997    3.062    3.282    3.282    3.763    3.763    4.554    4.554    4.901    5.234
    5.234    5.758    5.758    6.061    6.855    6.855
            0.000000  0.000000  0.416667
  -10.446  -10.209   -9.859   -9.859    1.148    1.283    1.549    1.549    1.839    1.839
    2.052    2.052    2.337    2.337    2.413    2.413    2.797    2.839    2.958    2.958
    3.004    3.043    3.394    3.394    3.691    3.691    4.388    4.388    5.181    5.255
    5.255    5.757    6.038    6.038    6.603    6.603
